Indicator_Trend,Detailed_Indicator_Trend,Single Year / Year Range,Data point,Line of best fit point,Trend segment,Trend,Data quality,Unit,Data upper CI,Data lower CI
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2015,19.2,19.13,2015-2016,Stable,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2016,19,19.22,2016-2017,Stable,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2017,19.5,19.31,2017-2018,Stable,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2018,19.1,19.4,2018-2019,Decreasing,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2019,18.3,18.05,2019-2020,Decreasing,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2020,16.6,16.8,2020-2021,Decreasing,Caution,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2021,15.6,15.64,,,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2007,67.1,67.21,2007-2008,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2008,65.4,67.21,2008-2009,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2009,67,67.22,2009-2010,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2010,69.1,67.22,2010-2011,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2011,69.2,67.23,2011-2012,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2012,66.7,67.24,2012-2013,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2013,66.5,67.24,2013-2014,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2014,67.1,67.25,2014-2015,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2015,66.7,67.25,2015-2016,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2016,67.5,67.26,2016-2017,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2017,66.6,67.26,2017-2018,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2018,67.7,67.27,,,,,,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,2010,29.5,28.81,2010-2014,Stable,,,,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,2014,27,28.31,2014-2018,Stable,,,,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,2018,28.5,27.83,,,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2007,65.6,65.79,2007-2008,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2008,65.8,65.23,2008-2009,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2009,64.2,64.68,2009-2010,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2010,64.2,64.14,2010-2011,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2011,63.9,63.59,2011-2012,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2012,62.9,63.06,2012-2013,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2013,62.2,62.53,2013-2014,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2014,61.8,62,2014-2015,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2015,60.8,59.72,2015-2016,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2016,57.1,57.53,2016-2017,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2017,55,55.42,2017-2018,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2018,53.7,53.39,,,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2007,224.6,224.74,2007-2008,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2008,221.5,221.4,2008-2009,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2009,217.1,218.12,2009-2010,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2010,213.2,214.88,2010-2011,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2011,209.8,211.69,2011-2012,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2012,210,208.55,2012-2013,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2013,205.5,205.46,2013-2014,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2014,204.8,202.41,2014-2015,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2015,199.2,199.41,2015-2016,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2016,198.6,196.45,2016-2017,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2017,197.1,193.54,2017-2018,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2018,190.4,190.67,2018-2019,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2019,186.3,187.84,2019-2020,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2020,183,185.05,2020-2021,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2021,181.5,182.31,,,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2007,528.3,532.27,2007-2008,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2008,516.3,530.74,2008-2009,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2009,517.3,529.22,2009-2010,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2010,542.4,527.7,2010-2011,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2011,544.5,526.18,2011-2012,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2012,531.2,524.67,2012-2013,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2013,524.2,523.16,2013-2014,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2014,519.2,521.66,2014-2015,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2015,517.6,520.16,2015-2016,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2016,516.7,518.67,2016-2017,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2017,515.4,517.18,2017-2018,Stable,,,,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",2018,512.2,515.69,,,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2007,1529,1539.73,2007-2008,Stable,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2008,1576,1555.46,2008-2009,Stable,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2009,1577,1571.35,2009-2010,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2010,1555,1552.73,2012-2011,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2011,1545,1534.33,2011-2012,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2012,1507,1516.15,2012-2013,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2013,1472,1498.19,2013-2014,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2014,1482,1480.43,2014-2015,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2015,1463,1462.89,2015-2016,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2016,1440,1445.56,2016-2017,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2017,1419,1428.43,2017-2018,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2018,1419,1411.5,2018-2019,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2019,1407,1394.78,2019-2020,Decreasing,,,,
DEMENTIA CASES,"Rate of newly diagnosed dementia cases, including Alzheimer's disease, per 100,000 (age 65 years and older) (crude)",2020,1300,,,,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2007,69.3,68.93,2007-2008,Stable,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2008,67.9,68.71,2008-2009,Stable,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2009,68.1,68.49,2009-2010,Stable,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2010,69.2,68.27,2010-2011,Stable,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2011,67.4,68.05,2011-2012,Stable,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2012,69.1,67.83,2012-2013,Stable,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2013,66.9,67.61,2013-2014,Stable,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2014,67.9,67.39,2014-2015,Decreasing,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2015,65.6,66.09,2015-2016,Decreasing,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2016,63.8,64.82,2016-2017,Decreasing,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2017,64.4,63.58,2017-2018,Decreasing,,,,
LUNG CANCER CASES,"Incidence rate of all newly diagnosed lung cancers, per 100,000 (age-standardized)",2018,62.3,62.35,,,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2007,828,828.19,2007-2008,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2008,800,796.45,2008-2009,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2009,761,765.93,2009-2010,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2010,737,736.57,2012-2011,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2011,710,708.34,2011-2012,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2012,680,681.19,2012-2013,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2013,657,655.08,2013-2014,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2014,639,643.15,2014-2015,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2015,630,631.43,2015-2016,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2016,627,619.93,2016-2017,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2017,611,608.63,2017-2018,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2018,590,597.54,2018-2019,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2019,589,586.66,2019-2020,Decreasing,,,,
HEART DISEASE CASES,"Rate of newly diagnosed ischemic heart disease cases, population aged 20+ years, per 100,000 (age-standardized rate)",2020,547,,,,,,,
CHILDHOOD POVERTY,"% of children living below Canada's official poverty line, based on the Market Basket Measure",2015,16.3,,,,Good,,,
CHILDHOOD POVERTY,"% of children living below Canada's official poverty line, based on the Market Basket Measure",2016,13.9,,,,Good,,,
CHILDHOOD POVERTY,"% of children living below Canada's official poverty line, based on the Market Basket Measure",2017,11.7,,,,Good,,,
CHILDHOOD POVERTY,"% of children living below Canada's official poverty line, based on the Market Basket Measure",2018,10.6,,,,Good,,,
CHILDHOOD POVERTY,"% of children living below Canada's official poverty line, based on the Market Basket Measure",2019,9.4,,,,Good,,,
CHILDHOOD POVERTY,"% of children living below Canada's official poverty line, based on the Market Basket Measure",2020,4.7,,,,Good,,,
CHILDHOOD POVERTY,"% of children living below Canada's official poverty line, based on the Market Basket Measure",2021,6.4,,,,Good,,,
COMMUNITY BELONGING,% of population aged 12 years and older reporting a somewhat strong or very strong sense of belonging to local community,2015,68,,,,,,67.3,68.6
COMMUNITY BELONGING,% of population aged 12 years and older reporting a somewhat strong or very strong sense of belonging to local community,2016,68.8,,,,,,68.1,69.4
COMMUNITY BELONGING,% of population aged 12 years and older reporting a somewhat strong or very strong sense of belonging to local community,2017,69.4,,,,,,68.7,70
COMMUNITY BELONGING,% of population aged 12 years and older reporting a somewhat strong or very strong sense of belonging to local community,2018,68.4,,,,,,67.7,69
COMMUNITY BELONGING,% of population aged 12 years and older reporting a somewhat strong or very strong sense of belonging to local community,2019,69.7,,,,,,69,70.3
COMMUNITY BELONGING,% of population aged 12 years and older reporting a somewhat strong or very strong sense of belonging to local community,2020,70.2,,,,Caution,,69.4,71.1
COMMUNITY BELONGING,% of population aged 12 years and older reporting a somewhat strong or very strong sense of belonging to local community,2021,69.5,,,,,,68.7,70.3
CORE HOUSING NEED,% of households in core housing need,2006,12.7,,,,,,,
CORE HOUSING NEED,% of households in core housing need,2016,12.7,,,,,,,
CORE HOUSING NEED,% of households in core housing need,2021,10.1,,,,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2007,716,708.65,2007-2008,Stable,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2008,708,722.55,2008-2009,Stable,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2009,746,736.72,2009-2010,Stable,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2010,692,698.45,2012-2011,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2011,668,662.17,2011-2012,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2012,623,627.78,2012-2013,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2013,633,625.21,2013-2014,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2014,621,622.66,2014-2015,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2015,619,620.11,2015-2016,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2016,623,617.58,2016-2017,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2017,603,615.05,2017-2018,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2018,608,612.53,2018-2019,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2019,619,610.03,2019-2020,Decreasing,,,,
DIABETES CASES,"Rate of newly diagnosed diabetes cases, population aged 1+ years, per 100,000 (crude rate)",2020,574,,,,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2007,36.4,36.82,2007-2008,Decreasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2008,35.69,34.92,2008-2009,Decreasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2009,33.21,33.13,2009-2010,Decreasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2010,31.03,31.42,2010-2011,Decreasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2011,29.45,29.8,2011-2012,Decreasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2012,29.4,28.27,2012-2013,Increasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2013,29.55,29.22,2013-2014,Increasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2014,29.62,30.2,2014-2015,Increasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2015,30.59,31.21,2015-2016,Increasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2016,31.4,32.26,2016-2017,Increasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2017,32.35,33.35,2017-2018,Increasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2018,33.87,34.47,2018-2019,Decreasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2019,30.43,26.16,2019-2020,Decreasing,,,,
HEPATITIS C,"Rate of reported Hepatitis C disease cases per 100, 000 (crude rate)",2020,18.4,19.85,,,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2012,5.2,5.16,2012-2013,Stable,,,,
