Indicator_Trend,Detailed_Indicator_Trend,Single Year / Year Range,Data point,Line of best fit point,Trend segment,Trend,Data quality,Unit,Data upper CI,Data lower CI
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2013,5.2,5.13,2013-2014,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2014,5,5.1,2014-2015,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2015,4.9,5.07,2015-2016,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2016,5.2,5.03,2016-2017,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2017,5,5,2017-2018,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2018,5,4.97,2018-2019,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2019,4.7,4.45,2019-2020,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2020,3.5,3.98,2020-2021,Stable,,,,
HIV,"Rate of newly reported HIV diagnoses per 100, 000 (crude rate)",2021,3.8,3.56,,,,,,
POLIO VACCINATION,% of 2 year-old population that have received the polio vaccination,2011,88.6,90.22,2011-2013,Stable,,,,
POLIO VACCINATION,% of 2 year-old population that have received the polio vaccination,2013,90.9,90.52,2013-2015,Stable,,,,
POLIO VACCINATION,% of 2 year-old population that have received the polio vaccination,2015,91.2,90.83,2015-2017,Stable,,,,
POLIO VACCINATION,% of 2 year-old population that have received the polio vaccination,2017,90.7,91.14,2017-2019,Stable,,,,
POLIO VACCINATION,% of 2 year-old population that have received the polio vaccination,2019,91.9,91.45,2019-2021,Stable,,,,
POLIO VACCINATION,% of 2 year-old population that have received the polio vaccination,2021,91.8,91.77,,,,,,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",2011,69.7,74.92,2011-2013,Stable,,,,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",2013,76.4,75.4,2013-2015,Stable,,,,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",2015,77,75.88,2015-2017,Stable,,,,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",2017,75.8,76.37,2017-2019,Stable,,,,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",2019,77.5,76.86,2019-2021,Stable,,,,
"DIPHTHERIA, TETANUS, AND PERTUSSIS VACCINATION","% of 2 year-old population that have received the recommended 4 doses for diphtheria, pertussis and tetanus",2021,77.1,77.35,,,,,,
MEASLES VACCINATION,% of 2 year-old population that have received measles vaccine,2011,89.2,,,,,,,
MEASLES VACCINATION,% of 2 year-old population that have received measles vaccine,2013,89.7,,,,,,,
MEASLES VACCINATION,% of 2 year-old population that have received measles vaccine,2015,89.2,,,,,,,
MEASLES VACCINATION,% of 2 year-old population that have received measles vaccine,2017,90.2,,,,,,,
MEASLES VACCINATION,% of 2 year-old population that have received measles vaccine,2019,90.2,,,,,,,
MEASLES VACCINATION,% of 2 year-old population that have received measles vaccine,2021,91.6,,,,,,,
CHICKENPOX (VARICELLA) VACCINATION,% of 2 year-old population that have received the varicella (chickenpox) vaccine,2017,82.9,,,,,,,
CHICKENPOX (VARICELLA) VACCINATION,% of 2 year-old population that have received the varicella (chickenpox) vaccine,2019,82.7,,,,,,,
CHICKENPOX (VARICELLA) VACCINATION,% of 2 year-old population that have received the varicella (chickenpox) vaccine,2021,87.5,,,,,,,
MOOD AND/OR ANXIETY DISORDERS,"% of population that reports having diagnosed mood and/or anxiety disorders, population aged 12+ years, age-standardized rate",2015,12.2,,,,,,11.7,12.7
MOOD AND/OR ANXIETY DISORDERS,"% of population that reports having diagnosed mood and/or anxiety disorders, population aged 12+ years, age-standardized rate",2016,12.9,,,,,,12.5,13.4
MOOD AND/OR ANXIETY DISORDERS,"% of population that reports having diagnosed mood and/or anxiety disorders, population aged 12+ years, age-standardized rate",2017,13.4,,,,,,12.9,13.9
MOOD AND/OR ANXIETY DISORDERS,"% of population that reports having diagnosed mood and/or anxiety disorders, population aged 12+ years, age-standardized rate",2018,13.8,,,,,,13.3,14.3
MOOD AND/OR ANXIETY DISORDERS,"% of population that reports having diagnosed mood and/or anxiety disorders, population aged 12+ years, age-standardized rate",2019,14.1,,,,,,13.6,14.6
MOOD AND/OR ANXIETY DISORDERS,"% of population that reports having diagnosed mood and/or anxiety disorders, population aged 12+ years, age-standardized rate",2020,14.8,,,,,,14.2,15.5
MOOD AND/OR ANXIETY DISORDERS,"% of population that reports having diagnosed mood and/or anxiety disorders, population aged 12+ years, age-standardized rate",2021,15.2,,,,,,14.6,15.8
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2007-2009,19.9,19.94,2007-2009 to 2008-2010,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2008-2010,20.1,20.12,2008-2010 to 2009-2011,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2009-2011,20.3,20.3,2009-2011 to 2010-2012,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2010-2012,20.5,20.48,2010-2012 to 2011-2013,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2011-2013,20.5,20.53,2011-2013 to 2012-2014,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2012-2014,20.6,20.59,2012-2014 to 2013-2015,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2013-2015,20.6,20.65,2013-2015 to 2014-2016,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2014-2016,20.7,20.71,2014-2016 to 2015-2017,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2015-2017,20.8,20.77,2015-2017 to 2016-2018,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2016-2018,20.8,20.83,2016-2018 to 2017-2019,Increasing,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2017-2019,20.9,20.89,2017-2019 to 2018-2020,Stable,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2018-2020,20.9,20.91,2018-2020 to 2019-2021,Stable,,,,
LIFE EXPECTANCY AT AGE 65,"Life expectancy at age 65, in years",2019-2021,20.9,20.93,N/A,N/A,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2007-2009,80.9,80.92,2007-2009 to 2008-2010,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2008-2010,81.2,81.14,2008-2010 to 2009-2011,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2009-2011,81.4,81.35,2009-2011 to 2010-2012,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2010-2012,81.6,81.57,2010-2012 to 2011-2013,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2011-2013,81.7,81.78,2011-2013 to 2012-2014,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2012-2014,81.8,81.82,2012-2014 to 2013-2015,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2013-2015,81.9,81.86,2013-2015 to 2014-2016,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2014-2016,81.9,81.9,2014-2016 to 2015-2017,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2015-2017,81.9,81.94,2015-2017 to 2016-2018,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2016-2018,81.9,81.98,2016-2018 to 2017-2019,Increasing,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2017-2019,82,82.02,2017-2019 to 2018-2020,Stable,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2018-2020,82,81.95,2018-2020 to 2019-2021,Stable,,,,
LIFE EXPECTANCY AT BIRTH,"Life expectancy at birth, in years",2019-2021,81.9,81.88,,,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2007,6,5.97,2007-2008,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2008,6,6.01,2008-2009,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2009,6.1,6.06,2009-2010,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2010,6.1,6.11,2010-2011,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2011,6.1,6.15,2011-2012,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2012,6.1,6.2,2012-2013,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2013,6.3,6.25,2013-2014,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2014,6.3,6.3,2014-2015,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2015,6.3,6.34,2015-2016,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2016,6.4,6.39,2016-2017,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2017,6.5,6.44,2017-2018,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2018,6.5,6.49,2018-2019,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2019,6.7,6.54,2019-2020,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2020,6.5,6.59,2020-2021,Increasing,,,,
LOW BIRTHWEIGHT,"Birth-weight less than 2,500 grams (% of live births)",2021,6.6,6.65,,,,,,
ADULT OBESITY,% of adults that are obese,2007-2009,23.9,,,,,,,
ADULT OBESITY,% of adults that are obese,2009-2011,26.2,,,,,,,
ADULT OBESITY,% of adults that are obese,2012-2013,26.4,,,,,,,
ADULT OBESITY,% of adults that are obese,2014-2015,28.1,,,,,,,
ADULT OBESITY,% of adults that are obese,2016-2017,26.9,,,,,,,
ADULT OBESITY,% of adults that are obese,2018-2019,24.3,,,,,,,
CHILD AND YOUTH OBESITY,"percentage of children and youth, aged 5 to 17 years, living with obesity",2007-2009,14.3,,,,,,,
CHILD AND YOUTH OBESITY,"percentage of children and youth, aged 5 to 17 years, living with obesity",2009-2011,11.7,,,,,,,
CHILD AND YOUTH OBESITY,"percentage of children and youth, aged 5 to 17 years, living with obesity",2012-2013,12.6,,,,,,,
CHILD AND YOUTH OBESITY,"percentage of children and youth, aged 5 to 17 years, living with obesity",2014-2015,13,,,,,,,
CHILD AND YOUTH OBESITY,"percentage of children and youth, aged 5 to 17 years, living with obesity",2016-2017,10.6,,,,,,,
CHILD AND YOUTH OBESITY,"percentage of children and youth, aged 5 to 17 years, living with obesity",2018-2019,10.1,,,,,,,
PERCEIVED HEALTH,% of population aged 12 years and older reporting very good or excellent health,2015,61.9,,,,,,61.3,62.6
PERCEIVED HEALTH,% of population aged 12 years and older reporting very good or excellent health,2016,61.1,,,,,,60.4,61.8
PERCEIVED HEALTH,% of population aged 12 years and older reporting very good or excellent health,2017,61,,,,,,60.4,61.7
PERCEIVED HEALTH,% of population aged 12 years and older reporting very good or excellent health,2018,60.7,,,,,,60,61.4
PERCEIVED HEALTH,% of population aged 12 years and older reporting very good or excellent health,2019,61.2,,,,,,60.5,61.8
PERCEIVED HEALTH,% of population aged 12 years and older reporting very good or excellent health,2020,62.5,,,,Caution,,61.6,63.3
PERCEIVED HEALTH,% of population aged 12 years and older reporting very good or excellent health,2021,59.7,,,,,,59,60.5
PERCEIVED MENTAL HEALTH,% of population aged 12 years and older reporting very good or excellent mental health,2015,72.4,,,,,,71.7,73.1
PERCEIVED MENTAL HEALTH,% of population aged 12 years and older reporting very good or excellent mental health,2016,70.9,,,,,,70.2,71.5
PERCEIVED MENTAL HEALTH,% of population aged 12 years and older reporting very good or excellent mental health,2017,70.3,,,,,,69.7,70.9
PERCEIVED MENTAL HEALTH,% of population aged 12 years and older reporting very good or excellent mental health,2018,68.6,,,,,,67.9,69.3
PERCEIVED MENTAL HEALTH,% of population aged 12 years and older reporting very good or excellent mental health,2019,67.1,,,,,,66.4,67.7
PERCEIVED MENTAL HEALTH,% of population aged 12 years and older reporting very good or excellent mental health,2020,65,,,,Caution,,64.2,65.9
PERCEIVED MENTAL HEALTH,% of population aged 12 years and older reporting very good or excellent mental health,2021,59,,,,,,58.2,59.8
PHYSICAL ACTIVITY,% of children and youth (aged 5 to 17 years) that accumulate an average of at least 60 minutes of moderate to-vigorous physical activity per day,2009-2011,32.7,,,,,,,
PHYSICAL ACTIVITY,% of children and youth (aged 5 to 17 years) that accumulate an average of at least 60 minutes of moderate to-vigorous physical activity per day,2012-2013,41.5,,,,,,,
PHYSICAL ACTIVITY,% of children and youth (aged 5 to 17 years) that accumulate an average of at least 60 minutes of moderate to-vigorous physical activity per day,2014-2015,36.8,,,,,,,
PHYSICAL ACTIVITY,% of children and youth (aged 5 to 17 years) that accumulate an average of at least 60 minutes of moderate to-vigorous physical activity per day,2016-2017,38.5,,,,,,,
PHYSICAL ACTIVITY,% of children and youth (aged 5 to 17 years) that accumulate an average of at least 60 minutes of moderate to-vigorous physical activity per day,2018-2019,43,,,,,,,
POVERTY,"% of population living below Canada's official poverty line, based on the Market Basket Measure",2015,14.5,,,,Very good,,,
POVERTY,"% of population living below Canada's official poverty line, based on the Market Basket Measure",2016,12.9,,,,Very good,,,
POVERTY,"% of population living below Canada's official poverty line, based on the Market Basket Measure",2017,11.9,,,,Excellent,,,
POVERTY,"% of population living below Canada's official poverty line, based on the Market Basket Measure",2018,11.2,,,,Very good,,,
POVERTY,"% of population living below Canada's official poverty line, based on the Market Basket Measure",2019,10.3,,,,Very good,,,
POVERTY,"% of population living below Canada's official poverty line, based on the Market Basket Measure",2020,6.4,,,,Very good,,,
POVERTY,"% of population living below Canada's official poverty line, based on the Market Basket Measure",2021,7.4,,,,Very good,,,
DEATHS BY SUICIDE,"Mortality rate due to suicide, total population (crude rate)",2017,12.2,,,,,,,
DEATHS BY SUICIDE,"Mortality rate due to suicide, total population (crude rate)",2018,12.3,,,,,,,
DEATHS BY SUICIDE,"Mortality rate due to suicide, total population (crude rate)",2019,12.1,,,,,,,
DEATHS BY SUICIDE,"Mortality rate due to suicide, total population (crude rate)",2020,10.9,,,,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2007,3.8,3.85,2007-2008,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2008,4.2,4.19,2008-2009,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2009,4.7,4.55,2009-2010,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2010,5,4.94,2010-2011,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2011,5.1,5.37,2011-2012,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2012,5.9,5.83,2012-2013,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2013,6.3,6.33,2013-2014,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2014,6.8,6.88,2014-2015,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2015,9,8.55,2015-2016,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2016,10.7,10.62,2016-2017,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2017,11.3,13.21,2017-2018,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2018,17,16.41,2018-2019,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2019,24.6,20.4,2019-2020,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2020,24,25.36,2020-2021,Increasing,,,,
INFECTIOUS SYPHILIS,"Rate of infectious syphilis cases per 100, 000 (crude rate)",2021,30,31.52,,,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2007,1.9,2.51,2007-2008,Decreasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2008,1.3,1.93,2008-2009,Decreasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2009,2.6,1.48,2009-2010,Decreasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2010,1.3,1.14,2010-2011,Decreasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2011,1.3,0.87,2011-2012,Decreasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2012,0.8,0.67,2012-2013,Decreasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2013,0.3,0.52,2013-2014,Decreasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2014,0.3,0.4,2014-2015,Increasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2015,1.3,0.73,2015-2016,Increasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2016,1,1.35,2016-2017,Increasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2017,1.9,2.5,2017-2018,Increasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2018,4.5,4.62,2018-2019,Increasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2019,14.2,8.53,2019-2020,Increasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2020,13.4,15.77,2020-2021,Increasing,,,,
CONGENITAL SYPHILIS,"Number of congenital syphilis cases (per 100,000)",2021,26.7,29.14,,,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2010,4.7,4.7,2010-2011,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2011,4.7,4.72,2011-2012,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2012,4.9,4.74,2012-2013,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2013,4.7,4.75,2013-2014,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2014,4.6,4.77,2014-2015,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2015,4.6,4.78,2015-2016,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2016,4.9,4.8,2016-2017,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2017,5,4.81,2017-2018,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2018,4.8,4.83,2018-2019,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2019,5.1,4.84,2019-2020,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2020,4.7,4.86,2020-2021,Stable,,,,
TUBERCULOSIS,"Incidence rate of active tuberculosis disease cases per 100,000 (crude rate)",2021,4.8,4.88,,,,,,
ANTIBIOTIC USE,"Rate of antibiotic use in the community (Defined Daily Dose/1,000 census inhabitants) (crude rate)",2017,5698.36,,,,,,,
ANTIBIOTIC USE,"Rate of antibiotic use in the community (Defined Daily Dose/1,000 census inhabitants) (crude rate)",2018,5717.98,,,,,,,
ANTIBIOTIC USE,"Rate of antibiotic use in the community (Defined Daily Dose/1,000 census inhabitants) (crude rate)",2019,5537.91,,,,,,,
ANTIBIOTIC USE,"Rate of antibiotic use in the community (Defined Daily Dose/1,000 census inhabitants) (crude rate)",2020,4392.26,,,,,,,
ANTIBIOTIC USE,"Rate of antibiotic use in the community (Defined Daily Dose/1,000 census inhabitants) (crude rate)",2021,4166.91,,,,,,,
ANTIBIOTIC USE,"Rate of antibiotic use in the community (Defined Daily Dose/1,000 census inhabitants) (crude rate)",2022,4932.25,,,,,,,
SMOKING,"Percentage of people, aged 15 years or older, who reported being a current smoker",2019,11.9,11.65,,,,,,
SMOKING,"Percentage of people, aged 15 years or older, who reported being a current smoker",2020,10.3,10.79,,,,,,
SMOKING,"Percentage of people, aged 15 years or older, who reported being a current smoker",2021,10.2,9.99,,,,,,
VAPING,"Percentage of people, aged 15 years or older, who reported vaping in the past 30 days (with or without nicotine only; excludes cannabis)",2019,4.7,4.62,,,,,,
VAPING,"Percentage of people, aged 15 years or older, who reported vaping in the past 30 days (with or without nicotine only; excludes cannabis)",2020,4.7,4.87,,,,,,
VAPING,"Percentage of people, aged 15 years or older, who reported vaping in the past 30 days (with or without nicotine only; excludes cannabis)",2021,5.2,5.13,,,,,,
